Benchmark,Frequency,Speed_Type,Area
b14_400MHtz_fast_hvt_area,400,_fast_,4498.326
b14_400MHtz_fast_lvt_area,400,_fast_,4288.338
b14_400MHtz_slow_area,400,_slow_,6112.429
b14_400MHtz_slow_hvt_area,400,_slow_,6340.612
b14_400MHtz_slow_lvt_area,400,_slow_,5078.358
IIR_filter_100MHtz_fast_area,100,_fast_,7731.594
IIR_filter_100MHtz_fast_hvt_area,100,_fast_,7732.962
IIR_filter_100MHtz_fast_lvt_area,100,_fast_,7733.646
IIR_filter_100MHtz_slow_area,100,_slow_,7930.980
IIR_filter_100MHtz_slow_hvt_area,100,_slow_,9519.228
IIR_filter_100MHtz_slow_lvt_area,100,_slow_,7738.434
IIR_filter_400MHtz_fast_area,400,_fast_,7908.750
IIR_filter_400MHtz_fast_hvt_area,400,_fast_,8818.812
IIR_filter_400MHtz_fast_lvt_area,400,_fast_,7735.014
IIR_filter_400MHtz_slow_area,400,_slow_,12816.364
IIR_filter_400MHtz_slow_hvt_area,400,_slow_,13270.489
IIR_filter_400MHtz_slow_lvt_area,400,_slow_,11147.900
